Dates,USDZARV1M,USDZARV3M,USDZARV1Y,USDZARPX_LAST,USDZARPX_BID,USDZARPX_ASK
2018-08-31,20.9375,20.4675,19.55,14.6887,14.6652,14.7122
2018-09-03,21.405,20.5075,19.635,14.859,14.8242,14.8938
2018-09-04,24.4775,22.5025,20.6175,15.3442,15.3278,15.3605
2018-09-05,26.06,23.5675,21.365,15.4234,15.4068,15.44
2018-09-06,23.56,22.415,20.84,15.3337,15.3181,15.3494
2018-09-07,22.39,22.135,20.485,15.237,15.2207,15.2532
2018-09-10,22.23,21.515,20.385,15.1938,15.1746,15.2131
2018-09-11,21.175,20.6825,20.055,15.0586,15.0428,15.0744
2018-09-12,20.5875,20.5425,20.0125,14.9553,14.9307,14.98
2018-09-13,19.555,19.73,19.535,14.7716,14.7563,14.7869
2018-09-14,19.2925,19.665,19.3975,14.9328,14.9163,14.9493
2018-09-17,19.055,19.155,19.2425,14.917,14.89,14.944
2018-09-18,18.65,18.8475,19.06,14.9056,14.8843,14.9268
2018-09-19,17.9575,18.4175,18.845,14.6945,14.6225,14.7666
2018-09-20,17.3075,18.23,18.4925,14.2875,14.2719,14.3031
2018-09-21,17.985,18.515,18.6875,14.3212,14.2785,14.364
2018-09-24,18.3875,18.68,18.7125,14.3772,14.3575,14.3969
2018-09-25,18.155,18.495,18.7125,14.3537,14.3427,14.3646
2018-09-26,17.405,17.9375,18.375,14.1365,14.1208,14.1521
2018-09-27,16.92,17.445,17.7625,14.1253,14.1092,14.1414
2018-09-28,16.8,17.2325,17.64,14.1415,14.0899,14.1931
2018-10-01,16.8525,17.0075,17.51,14.224,14.2093,14.2387
2018-10-02,17.625,17.3525,17.6825,14.358,14.3494,14.3665
2018-10-03,17.49,17.43,17.7325,14.6513,14.6314,14.6712
2018-10-04,18.7525,18.1925,18.365,14.8684,14.8538,14.883
2018-10-05,18.8975,18.2775,18.5425,14.7685,14.7467,14.7903
2018-10-08,20.365,19.135,19.06,14.8479,14.8189,14.877
2018-10-09,20.085,18.7675,19.0875,14.5625,14.5461,14.5789
2018-10-10,20.1025,18.835,18.8525,14.7667,14.7277,14.8056
2018-10-11,19.5325,18.7025,18.75,14.6332,14.621,14.6454
2018-10-12,19.385,18.46,18.5725,14.5185,14.4143,14.6226
2018-10-15,19.3725,18.3325,18.4425,14.368,14.3554,14.3806
2018-10-16,19.0275,18.0175,18.3975,14.1611,14.1466,14.1756
2018-10-17,18.4425,17.7925,18.265,14.2473,14.2348,14.2598
2018-10-18,18.4725,18.0,18.4025,14.4506,14.4365,14.4647
2018-10-19,18.16,17.78,18.36,14.4142,14.3231,14.5053
2018-10-22,18.41,17.8175,18.2875,14.3204,14.3047,14.3362
2018-10-23,18.445,17.8775,18.48,14.2575,14.2432,14.2719
2018-10-24,18.645,18.145,18.495,14.5658,14.5481,14.5835
2018-10-25,18.305,18.165,18.575,14.623,14.6009,14.6451
2018-10-26,18.255,18.05,18.67,14.5996,14.5871,14.6121
2018-10-29,18.4525,18.0825,18.66,14.7208,14.7037,14.7379
2018-10-30,18.3275,18.0225,18.64,14.5952,14.5786,14.6118
